,Bitcoin_Volume,Litecoin_Close,Litecoin_Volume,Dogecoin_Close,Dogecoin_Volume,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend),Date,United States_CPI,Eurozone_CPI,China_CPI,Japan_CPI,date,Ukraine_Russia_War,Israil_Palestin_War,US_Election,China_Election,Japan_Election,Germany_Election,India_Election
83,9.73412705308864e-05,0.0015872478646525,9.82012870812065e-05,0.0005513799102729,6.95560040194998e-05,76,0,0,0,1,0,0,0,2,2015-12-23,237.761,100.03,100.6,99.87274,2015-12-23,0,0,0,0,0,0,0
84,0.0001258229893788,0.0017591731018001,0.0001124451169853,0.0005513799102729,6.95560040194998e-05,74,0,0,0,1,0,0,0,2,2015-12-24,237.761,100.03,100.6,99.87274,2015-12-24,0,0,0,0,0,0,0
85,7.43101089153646e-05,0.0017089746952108,6.23205071318914e-05,0.0005513799102729,6.95560040194998e-05,81,0,0,1,1,0,0,0,1,2015-12-25,237.761,100.03,100.6,99.87274,2015-12-25,0,0,0,0,0,0,0
86,0.0002939608123802,0.0011865770292643,0.0001874300172446,0.0005513799102729,6.95560040194998e-05,65,0,0,0,1,0,0,0,1,2015-12-26,237.761,100.03,100.6,99.87274,2015-12-26,0,0,0,0,0,0,0
87,0.0001156621408813,0.0013290345377844,8.56586028398284e-05,0.0005513799102729,6.95560040194998e-05,85,0,0,0,1,0,0,0,1,2015-12-27,237.761,100.03,100.6,99.87274,2015-12-27,0,0,0,0,0,0,0
88,0.0001043997264754,0.0012950823327852,6.3338082338855e-05,0.0005513799102729,6.95560040194998e-05,86,0,0,1,1,0,0,0,2,2015-12-28,237.761,100.03,100.6,99.87274,2015-12-28,0,0,0,0,0,0,0
89,0.0001099785052957,0.0013843441159045,9.19196636162636e-05,0.0005513799102729,6.95560040194998e-05,71,2,0,0,1,0,0,0,2,2015-12-29,237.761,100.03,100.6,99.87274,2015-12-29,0,0,0,0,0,0,0
90,9.65662422663499e-05,0.0012771158281146,9.41982318022554e-05,0.0005513799102729,6.95560040194998e-05,73,0,0,0,1,0,0,0,2,2015-12-30,237.761,100.03,100.6,99.87274,2015-12-30,0,0,0,0,0,0,0
91,9.40223259627537e-05,0.0013319553848653,0.0001200494214948,0.0005513799102729,6.95560040194998e-05,66,0,1,1,1,0,0,0,2,2015-12-31,237.761,100.03,100.6,99.87274,2015-12-31,0,0,0,0,0,0,0
92,6.6333016527878e-05,0.0014070829539496,0.0001269156922114,0.0005513799102729,6.95560040194998e-05,76,0,0,0,1,0,0,0,1,2016-01-01,237.652,98.56,101.1,99.46552,2016-01-01,0,0,0,0,0,0,0
93,4.87173649108049e-05,0.0013892986136456,0.0001396473308877,0.0005513799102729,6.95560040194998e-05,90,0,0,0,1,0,0,0,1,2016-01-02,237.652,98.56,101.1,99.46552,2016-01-02,0,0,0,0,0,0,0
94,7.58923633098392e-05,0.0013395173821077,0.0001055182696999,0.0005513799102729,6.95560040194998e-05,96,3,0,0,1,0,0,0,1,2016-01-03,237.652,98.56,101.1,99.46552,2016-01-03,0,0,0,0,0,0,0
95,7.25976383749733e-05,0.0013716442131117,0.0001557351337775,0.0005513799102729,6.95560040194998e-05,69,5,0,0,1,0,0,0,3,2016-01-04,237.652,98.56,101.1,99.46552,2016-01-04,0,0,0,0,0,0,0
